,max_drawdown
sim_153,-0.2424932648311764
sim_154,-0.20788267136591632
sim_155,-0.1432381296695493
sim_156,-0.16119275250348952
sim_157,-0.2142293436287771
sim_158,-0.316674352136769
sim_159,-0.2861726284035583
sim_160,-0.14684249858351195
sim_161,-0.2518755279538909
sim_162,-0.18264372911892945
sim_163,-0.24065832395147713
sim_164,-0.2788792806863264
sim_165,-0.17657449895899813
sim_166,-0.2714301133873892
sim_167,-0.2092026586171779
sim_168,-0.3627635632764281
sim_169,-0.26738658044942754
sim_170,-0.23191426492281864
sim_171,-0.2125520308307085
sim_172,-0.2764122455595662
sim_173,-0.18981729481942822
sim_174,-0.21124369395336762
sim_175,-0.22529916630358993
sim_176,-0.1713906625277294
sim_177,-0.17905771643429103
sim_178,-0.5023389634606306
sim_179,-0.2977101106028589
sim_180,-0.1867661783649036
sim_181,-0.2220929649135287
sim_182,-0.2992317131879427
sim_183,-0.18663819756345634
sim_184,-0.21319699759536337
sim_185,-0.416947100946952
sim_186,-0.18334165252055656
sim_187,-0.21241894660104566
sim_188,-0.319238905147603
sim_189,-0.32285170571970234
sim_190,-0.1586397402471329
sim_191,-0.253181859672321
sim_192,-0.22155279349449097
sim_193,-0.16785972335685084
sim_194,-0.21632300782139557
sim_195,-0.25601503333526343
sim_196,-0.23006109743880276
sim_197,-0.15525574698455558
sim_198,-0.36731999936293336
sim_199,-0.19328103509669026
sim_200,-0.17935697619434765
sim_201,-0.27664386771637217
sim_202,-0.22471594012788876
sim_203,-0.2277613562402464
sim_204,-0.33605444728225176
sim_205,-0.3387995133627304
sim_206,-0.23320590090367777
sim_207,-0.20963285184845304
sim_208,-0.18106627333292113
sim_209,-0.26418713896534207
sim_210,-0.1847114287096554
sim_211,-0.18419493352523486
sim_212,-0.3481190898886567
sim_213,-0.25256326203515234
sim_214,-0.4429058229216455
sim_215,-0.3001480543722673
sim_216,-0.2876799398741572
sim_217,-0.11253303298353579
sim_218,-0.2273451070610617
sim_219,-0.25696546911441764
sim_220,-0.24696996087685952
sim_221,-0.2779346487574217
sim_222,-0.29426293585829255
sim_223,-0.17022733498885323
sim_224,-0.24808882650810937
sim_225,-0.2990136108032053
sim_226,-0.21597896851188325
sim_227,-0.28711465858340635
sim_228,-0.3418194024875256
sim_229,-0.45341836066990293
sim_230,-0.1635299936377026
sim_231,-0.1527476570488353
sim_232,-0.3195578526934708
sim_233,-0.22769634219878743
sim_234,-0.2051056380468167
sim_235,-0.25409093704816577
sim_236,-0.2074826164433985
sim_237,-0.20252821083047412
sim_238,-0.24360092558755286
sim_239,-0.21571445157960123
sim_240,-0.22599675553591703
sim_241,-0.14289840642121399
sim_242,-0.5217883496374713
sim_243,-0.25140569199369955
sim_244,-0.23990628666679348
sim_245,-0.1657434470461875
sim_246,-0.3405763712928125
sim_247,-0.12517761835890218
sim_248,-0.17503985544804213
sim_249,-0.2381510405512749
sim_250,-0.1250394044897779
sim_251,-0.3266859389431971
sim_252,-0.20390383254942746
sim_253,-0.272984247852047
sim_254,-0.26760268065374904
sim_255,-0.16670448651227254
sim_256,-0.14503775381598416
sim_257,-0.16416566971116253
sim_258,-0.1274983772020266
sim_259,-0.260706260630837
sim_260,-0.3063008811423362
sim_261,-0.16122306433721711
sim_262,-0.45594902667301396
sim_263,-0.30336354352247596
sim_264,-0.17590977313116085
